id,english_name,spanish_name,category,subtype,role_in_story,logline_usage,dramatic_function,arc_phase_affinity,scene_type_affinity,primary_genres,secondary_genres,tone_seriousness,tone_darkness,tone_stylization,humor_presence,emotional_core,moral_axis,character_change_potential,narrative_scale,conflict_type,stakes_level,default_periods,default_settings,period_flexibility,worldbuilding_requirement,sensitivity_tags,rating_floor,hays_code_relevant,professional_notes,examples_reference,script_usage_notes,production_implications,source,curation_status,tags_engine,priority_for_generation,version
ACCIDENTAL_HERO,Accidental Hero,Héroe accidental,PROTAGONIST,heroic_archetype,protagonist,"Una persona corriente se ve obligada a convertirse en héroe tras un incidente inesperado.","Crear identificación y arco de crecimiento; convertir un personaje cotidiano en figura heroica.",setup;inciting_incident;first_plot_point;midpoint;climax,confrontation;action_setpiece;intimate_dialogue,DRAMA;ACTION,DRAMEDY;ACTION_COMEDY,4,3,naturalistic,light,"hope;fear","justice_vs_injustice;self_vs_community",major,personal;community,internal;relational;social,4,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"","PG-13",false,"Arquetipo central de cine comercial; ideal para historias high-concept donde la audiencia se proyecta en el protagonista.","","Presentar pronto la normalidad del personaje para que la transformación heroica se sienta ganada.","Puede requerir escenas de acción y extras; presupuesto medio según escala de set pieces.",game_data;script_theory_extended,validated,"hero;ordinary_person;growth_arc",0.8,1
AMBITIOUS_WOMAN,Ambitious Woman,Mujer ambiciosa,PROTAGONIST,heroic_archetype,protagonist,"Una mujer que lucha contra estructuras sociales o profesionales para alcanzar sus metas.","Explorar conflicto entre ambición personal y presión social; abordar temas de género y poder.",setup;first_plot_point;midpoint;second_plot_point,Intimate_dialogue;confrontation;revelation,DRAMA,DRAMEDY,4,3,naturalistic,light,"desire;frustration","self_vs_community;freedom_vs_oppression",major,personal;social,internal;social;institutional,3,20th_century;contemporary,MODERN_EUROPEAN_CITY;MODERN_AMERICAN_CITY,high,low,"","PG-13",false,"Protagonista habitual en dramas contemporáneos y cine independiente; potente para historias de ascenso profesional.","","Definir obstáculos concretos (techo de cristal, normas familiares) y cómo las decisiones de la protagonista los confrontan.","Presupuesto bajo-medio; se apoya en reparto y localizaciones realistas.",script_theory_extended,validated,"ambition;gender;social_drama",0.75,1
ATTORNEY,Attorney,Abogado,PROTAGONIST,professional_lead,protagonist;"supporting","Un abogado se implica en un caso que pone a prueba su ética y sus lealtades.","Servir de vehículo para debates morales y sociales; encarnar el conflicto entre ley y justicia.",first_plot_point;midpoint;second_plot_point;climax,confrontation;revelation;courtroom_scene,DRAMA;THRILLER,LEGAL_DRAMA,4,3,naturalistic,none,"anger;hope","justice_vs_injustice;honesty_vs_corruption",major,community;national,internal;institutional;social,4,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"","PG-13",false,"Elemento típico de dramas legales; permite estructura clara de confrontaciones en sala de juicio.","","Asegurar que los casos tengan implicaciones personales para el protagonista, no solo técnicas.","Requiere decorados de juzgado y elenco amplio de secundarios; presupuesto medio.",game_data;script_theory_extended,validated,"legal;justice;courtroom",0.7,1
BOUNTY_HUNTER,Bounty Hunter,Cazarrecompensas,PROTAGONIST,antihero,protagonist;"antagonist","Un cazarrecompensas pragmático se ve envuelto en un conflicto mayor que su objetivo inicial.","Explorar moralidad ambigua y posible redención; servir como figura de acción movida por recompensa.",first_plot_point;midpoint;second_plot_point;climax,action_setpiece;confrontation;thrilling_chase,ACTION;WESTERN,THRILLER,4,4,heightened_stylized,light,"greed;survival","law_vs_crime;self_vs_community",major,community;national,warfare;social,4,19th_century;20th_century;near_future,WILD_WEST;DYSTOPIAN_FUTURISTIC_CITY;SPACE,medium,medium,"violence","R",true,"Arquetipo clásico en western y acción; funciona bien como protagonista o antagonista según el enfoque.","","Mostrar su código personal (aunque sea limitado) para que el público entienda sus líneas rojas.","Set pieces de persecución y enfrentamientos armados; presupuesto medio-alto.",game_data;script_theory_extended,validated,"antihero;western;action",0.7,1
BROTHERS_IN_ARMS,Brothers in Arms,Hermanos de armas,PROTAGONIST,ensemble,ensemble;"supporting","Un grupo de combatientes comparte un conflicto bélico que pondrá a prueba su lealtad y humanidad.","Crear historias coral de camaradería y sacrificio; ofrecer múltiples puntos de vista sobre la guerra.",setup;first_plot_point;midpoint;climax,action_setpiece;confrontation;montage,DRAMA;WAR,WAR_DRAMA,4,4,naturalistic;heightened_stylized,light,"fear;hope","duty_vs_desire;freedom_vs_oppression",major,community;national,warfare;internal,5,20th_century,GREAT_WAR;WW2_EUROPE;WW2_PACIFIC;WW2_AFRICA,medium,high,"war","R",true,"Ideal para narrativas bélicas corales; permite explorar diferentes arcos personales dentro de un mismo conflicto.","","Dar a cada miembro un rasgo distintivo para evitar anonimato; equilibrar escenas de batalla con momentos íntimos.","Alto número de extras, efectos y localizaciones; presupuesto alto.",game_data;script_theory_extended,validated,"war;ensemble;camaraderie",0.8,1
CHARISMATIC_CRIMINAL,Charismatic Criminal,Criminal carismático,PROTAGONIST,antihero,protagonist;"antagonist","Un delincuente encantador atrae al público pese a sus actos moralmente cuestionables.","Explorar ambigüedad moral; generar tensión entre simpatía del público y gravedad de los crímenes.",setup;first_plot_point;midpoint;second_plot_point;climax,confrontation;revelation;action_setpiece;intimate_dialogue,DRAMA;THRILLER,CRIME_DRAMA,4,4,heightened_stylized,light,"desire;pride","honesty_vs_corruption;self_vs_community",major,community;national,relational;social;institutional,4,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,medium,low,"crime","R",false,"Útil para historias centradas en crimen organizado o heists; requiere gestionar la identificación del espectador sin glorificar el delito.","","Definir consecuencias claras para los actos del personaje; evitar glamurizar el delito sin crítica.","Rodajes urbanos, reparto amplio y posibles set pieces complejos; presupuesto medio-alto.",game_data;script_theory_extended,validated,"antihero;crime;heist",0.75,1
CITY_MOUSE,City Mouse,Forastero en la ciudad,PROTAGONIST,fish_out_of_water,protagonist,"Un forastero llega a la gran ciudad y debe adaptarse a un entorno desconocido.","Usar choque cultural para generar comedia o drama; mostrar transformación del personaje frente al entorno.",setup;inciting_incident;first_plot_point;midpoint,Intimate_dialogue;comic_relief;confrontation,COMEDY;DRAMA,DRAMEDY,3,2,naturalistic,light,"fear;curiosity","self_vs_community",major,personal;community,internal;social,3,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"","PG-13",false,"Arquetipo fish-out-of-water clásico; ideal para historias de ciudad/pueblo, migración o ascenso profesional.","","Aprovechar el contraste entre expectativas del personaje y realidad urbana para momentos tanto cómicos como dramáticos.","Presupuesto bajo-medio; requiere localizaciones urbanas reconocibles.",script_theory_extended,validated,"fish_out_of_water;urban;coming_of_age",0.7,1
CLUMSY_OAF,Clumsy Oaf,Torpe entrañable,PROTAGONIST,comic_lead,protagonist;"supporting","Un personaje torpe pero de buen corazón provoca situaciones cómicas mientras intenta hacer lo correcto.","Proporcionar alivio cómico y momentos de humanidad; puede crecer hacia un acto heroico inesperado.",setup;midpoint,comic_relief;slapstick,COMEDY,SLAPSTICK_COMEDY,2,1,heightened_stylized,central,"joy;embarrassment","self_vs_community",minor;major,personal,internal;relational,2,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"","PG",false,"Funciona bien como protagonista en comedia o secundario en historias más serias; debe equilibrarse para no saturar el tono.","","Utilizar la torpeza para revelar vulnerabilidad y generar empatía, no solo para gag vacío.","Presupuesto bajo; se apoya en interpretación física y coreografía de gags.",script_theory_extended,validated,"comedy;slapstick;lovable",0.6,1
COP,Cop,Policía,PROTAGONIST,professional_lead,protagonist;"supporting","Un agente de policía se enfrenta a un caso o situación que desborda sus capacidades habituales.","Encarnar la tensión entre orden institucional y realidad de la calle; útil para thrillers y dramas sociales.",first_plot_point;midpoint;second_plot_point;climax,action_setpiece;confrontation;revelation,THRILLER;ACTION,CRIME_DRAMA,4,3,naturalistic;heightened_stylized,light,"fear;anger","law_vs_crime;freedom_vs_oppression",major,community;national,warfare;institutional;social,4,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"violence","PG-13;R",true,"Elemento central en policiales; facilita estructura de investigación y enfrentamiento directo con antagonistas criminales.","","Mostrar la vida personal del policía para humanizarlo y dar profundidad más allá del uniforme.","Rodajes urbanos, seguimiento de vehículos y posibles escenas de acción; presupuesto medio.",game_data;script_theory_extended,validated,"police;crime;investigation",0.75,1
COWBOY,Cowboy,Vaquero,PROTAGONIST,heroic_archetype,protagonist;"antihero","Un vaquero solitario navega conflictos de frontera y justicia en un entorno duro.","Representar individualismo, frontera y códigos personales de honor; ideal para historias de western y reinterpretaciones modernas.",setup;first_plot_point;midpoint;climax,confrontation;action_setpiece,WESTERN;DRAMA,ACTION,4,3,heightened_stylized,light,"loneliness;pride","justice_vs_injustice;freedom_vs_oppression",major,community,warfare;social,4,19th_century;20th_century,WILD_WEST;MODERN_AMERICAN_COUNTRYSIDE;FEUDAL_JAPAN,medium,medium,"violence","PG-13;R",true,"Arquetipo icónico del western; puede trasladarse metafóricamente a otros contextos (policía solitario, samurái, etc.).","","Definir su relación con la comunidad (forastero vs protector) para orientar la moral del relato.","Puede requerir exteriores rurales amplios, caballos y elementos de producción de época; presupuesto variable.",game_data;script_theory_extended,validated,"western;frontier;loner",0.7,1
